method;top5;top10;top15;
grads;0.169 ± 0.007;0.249 ± 0.008;0.312 ± 0.009;
grads_x_inputs;0.125 ± 0.013;0.201 ± 0.014;0.266 ± 0.015;
ig_20;0.255 ± 0.013;0.356 ± 0.012;0.429 ± 0.010;
ig_50;0.256 ± 0.013;0.355 ± 0.013;0.428 ± 0.011;
ig_100;0.256 ± 0.013;0.356 ± 0.013;0.428 ± 0.010;
sg_20;0.161 ± 0.012;0.243 ± 0.015;0.306 ± 0.016;
sg_50;0.162 ± 0.011;0.245 ± 0.014;0.309 ± 0.015;
sg_100;0.162 ± 0.013;0.247 ± 0.014;0.312 ± 0.016;
sg_20_x_inputs;0.271 ± 0.014;0.376 ± 0.018;0.442 ± 0.017;
sg_50_x_inputs;0.275 ± 0.014;0.381 ± 0.017;0.448 ± 0.018;
sg_100_x_inputs;0.276 ± 0.013;0.383 ± 0.018;0.450 ± 0.017;
ks_100;0.113 ± 0.002;0.188 ± 0.004;0.252 ± 0.005;
ks_200;0.114 ± 0.005;0.189 ± 0.003;0.251 ± 0.003;
ks_500;0.155 ± 0.005;0.239 ± 0.005;0.302 ± 0.004;
relprop;0.217 ± 0.047;0.331 ± 0.046;0.410 ± 0.042;
random;0.057 ± 0.001;0.125 ± 0.000;0.190 ± 0.002;
