method;top5;top10;top15;
grads;0.168 ± 0.006;0.236 ± 0.009;0.287 ± 0.006;
grads_x_inputs;0.142 ± 0.008;0.215 ± 0.009;0.276 ± 0.015;
ig_20;0.211 ± 0.019;0.287 ± 0.020;0.351 ± 0.022;
ig_50;0.210 ± 0.018;0.286 ± 0.021;0.349 ± 0.020;
ig_100;0.210 ± 0.019;0.286 ± 0.021;0.350 ± 0.022;
sg_20;0.149 ± 0.017;0.221 ± 0.017;0.278 ± 0.024;
sg_50;0.156 ± 0.017;0.229 ± 0.021;0.284 ± 0.020;
sg_100;0.159 ± 0.014;0.234 ± 0.020;0.290 ± 0.021;
sg_20_x_inputs;0.269 ± 0.023;0.351 ± 0.024;0.407 ± 0.025;
sg_50_x_inputs;0.277 ± 0.021;0.354 ± 0.023;0.410 ± 0.024;
sg_100_x_inputs;0.281 ± 0.022;0.360 ± 0.025;0.415 ± 0.028;
ks_100;0.114 ± 0.004;0.181 ± 0.009;0.237 ± 0.007;
ks_200;0.112 ± 0.007;0.180 ± 0.008;0.231 ± 0.013;
ks_500;0.164 ± 0.011;0.234 ± 0.014;0.286 ± 0.013;
relprop;0.189 ± 0.033;0.282 ± 0.030;0.347 ± 0.027;
random;0.050 ± 0.003;0.118 ± 0.007;0.176 ± 0.011;
