method;top5;top10;top15;
grads;0.191 ± 0.007;0.284 ± 0.007;0.351 ± 0.009;
grads_x_inputs;0.186 ± 0.015;0.272 ± 0.017;0.340 ± 0.020;
ig_20;0.295 ± 0.013;0.400 ± 0.015;0.474 ± 0.015;
ig_50;0.295 ± 0.013;0.401 ± 0.015;0.475 ± 0.014;
ig_100;0.295 ± 0.013;0.401 ± 0.015;0.474 ± 0.013;
sg_20;0.189 ± 0.005;0.276 ± 0.004;0.344 ± 0.003;
sg_50;0.188 ± 0.006;0.274 ± 0.007;0.343 ± 0.007;
sg_100;0.188 ± 0.005;0.275 ± 0.005;0.343 ± 0.003;
sg_20_x_inputs;0.285 ± 0.018;0.379 ± 0.020;0.447 ± 0.022;
sg_50_x_inputs;0.292 ± 0.019;0.387 ± 0.021;0.454 ± 0.021;
sg_100_x_inputs;0.293 ± 0.019;0.388 ± 0.023;0.458 ± 0.025;
ks_100;0.153 ± 0.007;0.240 ± 0.008;0.310 ± 0.007;
ks_200;0.152 ± 0.005;0.234 ± 0.004;0.301 ± 0.004;
ks_500;0.190 ± 0.013;0.278 ± 0.013;0.346 ± 0.012;
random;0.104 ± 0.002;0.183 ± 0.004;0.251 ± 0.003;
