method;top5;top10;top15;
grads;0.180 ± 0.006;0.270 ± 0.007;0.327 ± 0.007;
grads_x_inputs;0.202 ± 0.004;0.293 ± 0.007;0.358 ± 0.005;
ig_20;0.301 ± 0.015;0.403 ± 0.019;0.472 ± 0.017;
ig_50;0.300 ± 0.016;0.404 ± 0.020;0.472 ± 0.017;
ig_100;0.301 ± 0.016;0.405 ± 0.019;0.474 ± 0.017;
sg_20;0.179 ± 0.012;0.258 ± 0.012;0.313 ± 0.010;
sg_50;0.176 ± 0.005;0.260 ± 0.009;0.315 ± 0.010;
sg_100;0.180 ± 0.010;0.265 ± 0.014;0.323 ± 0.014;
sg_20_x_inputs;0.298 ± 0.012;0.397 ± 0.006;0.458 ± 0.004;
sg_50_x_inputs;0.306 ± 0.014;0.397 ± 0.008;0.466 ± 0.007;
sg_100_x_inputs;0.307 ± 0.015;0.403 ± 0.010;0.468 ± 0.009;
ks_100;0.151 ± 0.005;0.238 ± 0.009;0.304 ± 0.008;
ks_200;0.151 ± 0.012;0.230 ± 0.010;0.290 ± 0.009;
ks_500;0.184 ± 0.014;0.268 ± 0.010;0.331 ± 0.007;
random;0.102 ± 0.002;0.179 ± 0.005;0.241 ± 0.006;
