method;top5;top10;top15;
grads;0.164 ± 0.003;0.243 ± 0.001;0.303 ± 0.002;
grads_x_inputs;0.150 ± 0.008;0.234 ± 0.009;0.301 ± 0.009;
ig_20;0.286 ± 0.005;0.382 ± 0.009;0.445 ± 0.010;
ig_50;0.286 ± 0.005;0.382 ± 0.010;0.445 ± 0.010;
ig_100;0.286 ± 0.005;0.382 ± 0.010;0.445 ± 0.010;
sg_20;0.171 ± 0.004;0.246 ± 0.003;0.301 ± 0.002;
sg_50;0.174 ± 0.007;0.250 ± 0.005;0.307 ± 0.005;
sg_100;0.174 ± 0.004;0.251 ± 0.004;0.305 ± 0.005;
sg_20_x_inputs;0.211 ± 0.009;0.304 ± 0.015;0.367 ± 0.015;
sg_50_x_inputs;0.217 ± 0.009;0.310 ± 0.016;0.375 ± 0.015;
sg_100_x_inputs;0.220 ± 0.009;0.314 ± 0.014;0.378 ± 0.014;
ks_100;0.099 ± 0.003;0.172 ± 0.003;0.233 ± 0.006;
ks_200;0.105 ± 0.008;0.175 ± 0.007;0.232 ± 0.006;
ks_500;0.147 ± 0.008;0.221 ± 0.009;0.277 ± 0.008;
random;0.054 ± 0.001;0.118 ± 0.002;0.178 ± 0.003;
