method;top5;top10;top15;
grads;0.155 ± 0.003;0.221 ± 0.005;0.266 ± 0.004;
grads_x_inputs;0.144 ± 0.012;0.218 ± 0.014;0.273 ± 0.011;
ig_20;0.246 ± 0.008;0.324 ± 0.007;0.374 ± 0.009;
ig_50;0.246 ± 0.008;0.324 ± 0.006;0.376 ± 0.008;
ig_100;0.246 ± 0.008;0.325 ± 0.006;0.376 ± 0.008;
sg_20;0.153 ± 0.006;0.215 ± 0.003;0.262 ± 0.002;
sg_50;0.160 ± 0.006;0.220 ± 0.006;0.267 ± 0.007;
sg_100;0.157 ± 0.004;0.216 ± 0.007;0.265 ± 0.006;
sg_20_x_inputs;0.182 ± 0.018;0.255 ± 0.022;0.310 ± 0.019;
sg_50_x_inputs;0.185 ± 0.016;0.261 ± 0.018;0.318 ± 0.017;
sg_100_x_inputs;0.189 ± 0.018;0.260 ± 0.018;0.315 ± 0.021;
ks_100;0.104 ± 0.005;0.172 ± 0.009;0.225 ± 0.006;
ks_200;0.104 ± 0.005;0.165 ± 0.005;0.216 ± 0.010;
ks_500;0.150 ± 0.005;0.214 ± 0.006;0.265 ± 0.006;
random;0.052 ± 0.003;0.111 ± 0.003;0.168 ± 0.003;
