model;acc;sure;unsure
bert-base-cased-sst-0l;0.9379461834157057;1707;1
bert-base-cased-sst-1l;0.9390444810543658;1707;3
bert-base-cased-sst-2l;0.942339373970346;1715;1
bert-base-cased-sst-3l;0.9395936298736958;1709;2
bert-base-cased-sst-4l;0.9384953322350357;1707;2
bert-medium-sst-0l;0.9231191652937946;1678;3
bert-medium-sst-1l;0.9269632070291048;1685;3
bert-medium-sst-2l;0.9187259747391543;1671;2
bert-medium-sst-3l;0.9231191652937946;1678;3
bert-medium-sst-4l;0.9209225700164745;1675;2
bert-mini-sst-0l;0.8775398132894014;1582;16
bert-mini-sst-1l;0.8824821526633718;1590;17
bert-mini-sst-2l;0.8791872597473915;1587;14
bert-mini-sst-3l;0.8819330038440417;1592;14
bert-mini-sst-4l;0.8775398132894014;1589;9
bert-small-sst-0l;0.9110378912685337;1649;10
bert-small-sst-1l;0.914332784184514;1656;9
bert-small-sst-2l;0.9099395936298736;1653;4
bert-small-sst-3l;0.9088412959912137;1650;5
bert-small-sst-4l;0.914881933003844;1662;4
