method;top1;top3;top5;
grads;0.131 ± 0.005;0.263 ± 0.005;0.378 ± 0.002;
grads_x_inputs;0.109 ± 0.008;0.240 ± 0.004;0.359 ± 0.004;
ig_20;0.159 ± 0.007;0.282 ± 0.006;0.387 ± 0.008;
ig_50;0.184 ± 0.015;0.297 ± 0.013;0.394 ± 0.009;
ig_100;0.200 ± 0.013;0.306 ± 0.013;0.398 ± 0.011;
sg_20;0.116 ± 0.006;0.243 ± 0.006;0.363 ± 0.002;
sg_50;0.115 ± 0.003;0.244 ± 0.004;0.365 ± 0.008;
sg_100;0.115 ± 0.007;0.246 ± 0.004;0.364 ± 0.004;
sg_20_x_inputs;0.174 ± 0.009;0.272 ± 0.003;0.379 ± 0.003;
sg_50_x_inputs;0.183 ± 0.003;0.278 ± 0.003;0.381 ± 0.005;
sg_100_x_inputs;0.195 ± 0.006;0.284 ± 0.005;0.384 ± 0.003;
ks_100;0.203 ± 0.004;0.274 ± 0.004;0.368 ± 0.002;
ks_200;0.220 ± 0.009;0.288 ± 0.008;0.378 ± 0.005;
ks_500;0.236 ± 0.006;0.303 ± 0.006;0.384 ± 0.004;
relprop;0.133 ± 0.011;0.266 ± 0.010;0.379 ± 0.014;
random;0.068 ± 0.007;0.202 ± 0.009;0.334 ± 0.004;
