method;top1;top3;top5
sg_20_0.075_x_inputs;0.267;0.341;0.425
sg_50_0.075_x_inputs;0.286;0.357;0.439
sg_100_0.075_x_inputs;0.314;0.380;0.453
sg_20_0.025_x_inputs;0.226;0.313;0.399
sg_50_0.025_x_inputs;0.234;0.313;0.400
sg_100_0.025_x_inputs;0.245;0.320;0.406
sg_20_0.01_x_inputs;0.141;0.247;0.366
sg_50_0.01_x_inputs;0.141;0.248;0.359
sg_100_0.01_x_inputs;0.144;0.250;0.363
sg_20_0.075;0.086;0.218;0.342
sg_50_0.075;0.089;0.209;0.341
sg_100_0.075;0.094;0.211;0.337
sg_20_0.025;0.136;0.261;0.369
sg_50_0.025;0.139;0.259;0.371
sg_100_0.025;0.140;0.259;0.374
sg_20_0.01;0.136;0.257;0.376
sg_50_0.01;0.122;0.262;0.376
sg_100_0.01;0.142;0.264;0.376
random;0.053;0.190;0.325
