method;top1;top3;top5;
grads;0.146 ± 0.004;0.264 ± 0.004;0.371 ± 0.004;
grads_x_inputs;0.120 ± 0.005;0.236 ± 0.006;0.355 ± 0.004;
ig_20;0.194 ± 0.031;0.308 ± 0.030;0.409 ± 0.023;
ig_50;0.227 ± 0.035;0.325 ± 0.030;0.424 ± 0.022;
ig_100;0.247 ± 0.029;0.338 ± 0.027;0.430 ± 0.019;
sg_20;0.116 ± 0.003;0.233 ± 0.004;0.350 ± 0.003;
sg_50;0.114 ± 0.005;0.229 ± 0.003;0.350 ± 0.005;
sg_100;0.114 ± 0.008;0.233 ± 0.004;0.350 ± 0.002;
sg_20_x_inputs;0.299 ± 0.005;0.363 ± 0.009;0.441 ± 0.007;
sg_50_x_inputs;0.320 ± 0.013;0.377 ± 0.007;0.449 ± 0.007;
sg_100_x_inputs;0.333 ± 0.009;0.388 ± 0.008;0.455 ± 0.007;
ks_100;0.324 ± 0.008;0.360 ± 0.011;0.431 ± 0.009;
ks_200;0.365 ± 0.016;0.389 ± 0.014;0.451 ± 0.013;
ks_500;0.399 ± 0.013;0.428 ± 0.010;0.475 ± 0.008;
relprop;0.236 ± 0.028;0.353 ± 0.010;0.454 ± 0.007;
random;0.056 ± 0.005;0.190 ± 0.005;0.328 ± 0.004;
