method;top1;top3;top5;
grads;0.172 ± 0.004;0.275 ± 0.005;0.375 ± 0.003;
grads_x_inputs;0.131 ± 0.009;0.248 ± 0.007;0.358 ± 0.006;
ig_20;0.311 ± 0.040;0.367 ± 0.032;0.432 ± 0.022;
ig_50;0.311 ± 0.040;0.366 ± 0.032;0.432 ± 0.021;
ig_100;0.312 ± 0.040;0.366 ± 0.032;0.432 ± 0.022;
sg_20;0.129 ± 0.004;0.246 ± 0.003;0.361 ± 0.003;
sg_50;0.143 ± 0.006;0.251 ± 0.005;0.359 ± 0.004;
sg_100;0.141 ± 0.005;0.251 ± 0.007;0.364 ± 0.002;
sg_20_x_inputs;0.387 ± 0.007;0.417 ± 0.005;0.461 ± 0.003;
sg_50_x_inputs;0.401 ± 0.014;0.426 ± 0.007;0.471 ± 0.005;
sg_100_x_inputs;0.407 ± 0.009;0.439 ± 0.008;0.477 ± 0.005;
ks_100;0.326 ± 0.017;0.373 ± 0.004;0.438 ± 0.004;
ks_200;0.364 ± 0.016;0.419 ± 0.004;0.468 ± 0.002;
ks_500;0.395 ± 0.009;0.460 ± 0.004;0.494 ± 0.006;
relprop;0.327 ± 0.035;0.380 ± 0.020;0.450 ± 0.012;
random;0.058 ± 0.007;0.197 ± 0.004;0.332 ± 0.002;
