method;top1;top3;top5;
grads;0.168 ± 0.007;0.273 ± 0.006;0.376 ± 0.001;
grads_x_inputs;0.187 ± 0.038;0.287 ± 0.022;0.383 ± 0.015;
ig_20;0.353 ± 0.025;0.416 ± 0.030;0.483 ± 0.021;
ig_50;0.352 ± 0.025;0.416 ± 0.031;0.483 ± 0.021;
ig_100;0.352 ± 0.026;0.416 ± 0.031;0.483 ± 0.021;
sg_20;0.123 ± 0.008;0.238 ± 0.003;0.355 ± 0.003;
sg_50;0.125 ± 0.008;0.241 ± 0.002;0.357 ± 0.002;
sg_100;0.127 ± 0.010;0.247 ± 0.002;0.357 ± 0.002;
sg_20_x_inputs;0.382 ± 0.012;0.425 ± 0.008;0.472 ± 0.006;
sg_50_x_inputs;0.405 ± 0.006;0.447 ± 0.006;0.487 ± 0.007;
sg_100_x_inputs;0.420 ± 0.009;0.460 ± 0.005;0.498 ± 0.009;
ks_100;0.303 ± 0.017;0.392 ± 0.005;0.457 ± 0.007;
ks_200;0.341 ± 0.010;0.428 ± 0.008;0.483 ± 0.010;
ks_500;0.373 ± 0.009;0.464 ± 0.008;0.512 ± 0.008;
relprop;0.365 ± 0.019;0.424 ± 0.009;0.477 ± 0.004;
random;0.061 ± 0.004;0.196 ± 0.003;0.333 ± 0.004;
